Timestamp,My Instructor is,My discussion section TA is,Course online reference pages [I use the reference pages of this course],Course online reference pages [They helped me understand course material],Course online reference pages [The instructor regularly shows/mentions them  in lecture],Course online reference pages [I use them to solve PrairieLearn homework problems ],Course online reference pages [I use them to solve Quizzes],Course online reference pages [I use them to solve problems in the dicussion sections],Course online reference pages [The reference pages stimulate my curiosity about real world problems],Course online reference pages [The reference pages help me understand how concepts in the course connect to each other.],Course online reference pages [The reference pages help me understand how the course content relates to my role as a future engineer.],Which devices do you use to access the online reference pages?
12/2/2024 22:15:30,Prof. Nikhil Admal,Jehyung,2,4,5 (Strongly agree),4,3 (Neutral),2,3 (Neutral),4,3 (Neutral),"Desktop (computer lab, library)"
12/2/2024 22:27:21,Prof. Nikhil Admal,Boqiang,4,4,4,4,4,4,2,4,3 (Neutral),"Tablet, Laptop"
12/2/2024 23:02:50,Prof. Kellie Halloran,Shivam,4,4,4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,"Laptop, Desktop (computer lab, library)"
12/2/2024 23:02:58,Prof. Nikhil Admal,Shivam,4,4,4,4,4,4,4,4,4,Laptop
12/2/2024 23:03:06,Prof. Nikhil Admal,Shivam,2,4,3 (Neutral),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),4,4,3 (Neutral),Laptop
12/2/2024 23:03:07,Prof. Nikhil Admal,Shivam,4,4,4,4,3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/2/2024 23:03:15,Prof. Kellie Halloran,Shivam,2,4,4,1 (Strongly disagree),2,1 (Strongly disagree),2,2,2,Laptop
12/2/2024 23:03:27,Prof. Nikhil Admal,Shivam,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),2,Laptop
12/2/2024 23:03:34,Prof. Nikhil Admal,Shivam,3 (Neutral),4,4,4,3 (Neutral),2,4,4,4,Laptop
12/2/2024 23:03:46,Prof. Nikhil Admal,Shivam,3 (Neutral),2,2,1 (Strongly disagree),2,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),Laptop
12/2/2024 23:04:18,Prof. Nikhil Admal,Shivam,4,3 (Neutral),3 (Neutral),3 (Neutral),4,1 (Strongly disagree),2,4,3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/2/2024 23:04:21,Prof. Kellie Halloran,Shivam,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/2/2024 23:05:11,Prof. Nikhil Admal,Shivam,3 (Neutral),2,2,3 (Neutral),3 (Neutral),2,3 (Neutral),2,2,"Laptop, Desktop (computer lab, library)"
12/2/2024 23:06:42,Prof. Nikhil Admal,Shivam,2,2,3 (Neutral),3 (Neutral),2,1 (Strongly disagree),3 (Neutral),3 (Neutral),2,"Tablet, Laptop, Smartphone"
12/2/2024 23:29:00,Prof. Nikhil Admal,Skyler,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4,3 (Neutral),Laptop
12/2/2024 23:44:22,Prof. Nikhil Admal,Shivam,5 (Strongly agree),5 (Strongly agree),4,4,3 (Neutral),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 0:06:00,Prof. Nikhil Admal,Boqiang,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),4,3 (Neutral),4,3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/3/2024 1:43:26,Prof. Nikhil Admal,Sharier,5 (Strongly agree),5 (Strongly agree),4,4,4,4,3 (Neutral),3 (Neutral),2,Laptop
12/3/2024 2:34:42,Prof. Nikhil Admal,Skyler,5 (Strongly agree),4,3 (Neutral),4,3 (Neutral),2,4,4,4,Laptop
12/3/2024 16:07:02,Prof. Nikhil Admal,Zakaria,3 (Neutral),4,4,4,1 (Strongly disagree),3 (Neutral),3 (Neutral),4,4,"Laptop, Smartphone"
12/3/2024 16:07:12,Prof. Nikhil Admal,Hananeh,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/3/2024 16:07:18,Prof. Nikhil Admal,Boqiang,2,2,4,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),2,2,2,Laptop
12/3/2024 16:07:19,Prof. Nikhil Admal,Hananeh,4,4,5 (Strongly agree),4,4,3 (Neutral),2,3 (Neutral),3 (Neutral),Laptop
12/3/2024 16:08:00,Prof. Nikhil Admal,Shivam,3 (Neutral),1 (Strongly disagree),1 (Strongly disagree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/3/2024 16:08:31,Prof. Kellie Halloran,Hananeh,4,4,3 (Neutral),4,2,1 (Strongly disagree),2,3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/3/2024 16:09:15,Prof. Kellie Halloran,Hananeh,4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,2,4,5 (Strongly agree),4,Laptop
12/3/2024 16:09:21,Prof. Nikhil Admal,Hananeh,5 (Strongly agree),5 (Strongly agree),2,4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),Laptop
12/3/2024 16:09:26,Prof. Kellie Halloran,Hananeh,3 (Neutral),3 (Neutral),4,3 (Neutral),2,4,2,3 (Neutral),3 (Neutral),Laptop
12/3/2024 16:11:20,Prof. Kellie Halloran,Hananeh,4,4,4,4,4,4,4,4,4,"Tablet, Laptop, Smartphone"
12/3/2024 16:12:57,Prof. Kellie Halloran,Hananeh,4,3 (Neutral),4,4,2,2,1 (Strongly disagree),2,1 (Strongly disagree),"Tablet, Laptop"
12/3/2024 17:02:35,Prof. Nikhil Admal,Sharier,3 (Neutral),3 (Neutral),2,2,3 (Neutral),1 (Strongly disagree),3 (Neutral),2,4,"Laptop, Desktop (computer lab, library)"
12/3/2024 17:02:53,Prof. Nikhil Admal,Sharier,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),1 (Strongly disagree),3 (Neutral),4,1 (Strongly disagree),Laptop
12/3/2024 17:03:18,Prof. Nikhil Admal,Sharier,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,"Laptop, Smartphone, Desktop (computer lab, library)"
12/3/2024 17:03:46,Prof. Kellie Halloran,Sharier,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),4,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/3/2024 17:04:02,Prof. Nikhil Admal,Sharier,3 (Neutral),4,3 (Neutral),2,3 (Neutral),3 (Neutral),3 (Neutral),4,3 (Neutral),Laptop
12/3/2024 17:04:14,Prof. Nikhil Admal,Shivam,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),"Tablet, Laptop, Desktop (computer lab, library)"
12/3/2024 17:04:17,Prof. Kellie Halloran,Shivam,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),Laptop
12/3/2024 17:04:59,Prof. Nikhil Admal,Sharier,1 (Strongly disagree),2,2,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),Laptop
12/3/2024 17:05:35,Prof. Kellie Halloran,Sharier,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,4,"Tablet, Laptop"
12/3/2024 17:05:59,Prof. Nikhil Admal,Sharier,4,5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),4,"Tablet, Laptop, Desktop (computer lab, library)"
12/3/2024 17:06:46,Prof. Nikhil Admal,Sharier,3 (Neutral),3 (Neutral),4,3 (Neutral),2,3 (Neutral),2,3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/3/2024 17:07:00,Prof. Kellie Halloran,Sharier,4,4,4,4,4,4,3 (Neutral),4,3 (Neutral),"Tablet, Laptop"
12/3/2024 17:09:49,Prof. Kellie Halloran,Sharier,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 18:02:12,Prof. Kellie Halloran,Sharier,4,4,4,4,4,2,4,4,4,Laptop
12/3/2024 18:02:14,Prof. Nikhil Admal,Sharier,4,5 (Strongly agree),4,4,4,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 18:02:15,Prof. Nikhil Admal,Sharier,4,4,3 (Neutral),3 (Neutral),4,1 (Strongly disagree),3 (Neutral),4,4,Laptop
12/3/2024 18:02:23,Prof. Kellie Halloran,Sharier,4,4,3 (Neutral),2,4,1 (Strongly disagree),2,4,3 (Neutral),Laptop
12/3/2024 18:02:27,Prof. Nikhil Admal,Sharier,5 (Strongly agree),3 (Neutral),4,4,4,3 (Neutral),2,2,2,"Laptop, Desktop (computer lab, library)"
12/3/2024 18:02:28,Prof. Nikhil Admal,Sharier,3 (Neutral),3 (Neutral),5 (Strongly agree),3 (Neutral),2,2,3 (Neutral),3 (Neutral),2,"Laptop, Desktop (computer lab, library)"
12/3/2024 18:02:41,Prof. Kellie Halloran,Sharier,5 (Strongly agree),4,5 (Strongly agree),4,5 (Strongly agree),2,2,4,4,"Laptop, Smartphone, Desktop (computer lab, library)"
12/3/2024 18:03:19,Prof. Kellie Halloran,Sharier,5 (Strongly agree),4,5 (Strongly agree),4,4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/3/2024 18:03:50,Prof. Kellie Halloran,Shivam,4,4,4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),4,4,Laptop
12/3/2024 18:03:53,Prof. Kellie Halloran,Sharier,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,3 (Neutral),"Tablet, Laptop"
12/3/2024 18:05:01,Prof. Kellie Halloran,Sharier,4,2,3 (Neutral),4,2,1 (Strongly disagree),2,3 (Neutral),3 (Neutral),Laptop
12/3/2024 18:05:33,Prof. Kellie Halloran,Shivam,4,4,5 (Strongly agree),4,4,2,2,3 (Neutral),3 (Neutral),Laptop
12/3/2024 18:06:48,Prof. Nikhil Admal,Sharier,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),4,3 (Neutral),4,5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
12/3/2024 19:05:16,Prof. Nikhil Admal,Shivam,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),4,4,4,Laptop
12/3/2024 19:06:08,Prof. Kellie Halloran,Shivam,2,2,4,2,3 (Neutral),1 (Strongly disagree),2,4,2,"Tablet, Laptop, Smartphone"
12/3/2024 19:06:11,Prof. Kellie Halloran,Shivam,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),4,Laptop
12/3/2024 19:06:11,Prof. Kellie Halloran,Shivam,4,4,3 (Neutral),4,4,4,4,4,4,"Tablet, Laptop"
12/3/2024 19:06:30,Prof. Kellie Halloran,Shivam,3 (Neutral),3 (Neutral),5 (Strongly agree),3 (Neutral),2,2,3 (Neutral),3 (Neutral),4,Laptop
12/3/2024 19:06:30,Prof. Kellie Halloran,Shivam,4,4,3 (Neutral),4,4,2,2,4,3 (Neutral),Laptop
12/3/2024 19:06:37,Prof. Nikhil Admal,Shivam,2,3 (Neutral),4,2,2,2,2,2,2,Laptop
12/4/2024 0:40:31,Prof. Kellie Halloran,Christian,3 (Neutral),2,4,2,1 (Strongly disagree),1 (Strongly disagree),2,3 (Neutral),2,Smartphone
12/4/2024 16:07:00,Prof. Kellie Halloran,Hananeh,2,2,2,2,2,2,2,2,2,Tablet
12/4/2024 16:07:01,Prof. Kellie Halloran,Hananeh,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),4,3 (Neutral),Laptop
12/4/2024 16:07:28,Prof. Kellie Halloran,Hananeh,4,4,4,4,4,4,3 (Neutral),4,4,Laptop
12/4/2024 16:07:33,Prof. Kellie Halloran,Hananeh,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,4,4,Laptop
12/4/2024 16:07:58,Prof. Nikhil Admal,Hananeh,3 (Neutral),4,2,3 (Neutral),3 (Neutral),3 (Neutral),4,4,4,"Laptop, Smartphone"
12/4/2024 16:08:15,Prof. Kellie Halloran,Zakaria,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),2,4,4,4,"Laptop, Desktop (computer lab, library)"
12/4/2024 16:08:23,Prof. Nikhil Admal,Zakaria,1 (Strongly disagree),1 (Strongly disagree),2,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),Laptop
12/4/2024 16:09:22,Prof. Kellie Halloran,Hananeh,3 (Neutral),2,4,2,1 (Strongly disagree),1 (Strongly disagree),2,3 (Neutral),3 (Neutral),Laptop
12/4/2024 16:42:18,Prof. Nikhil Admal,Hananeh,4,4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),4,3 (Neutral),"Tablet, Smartphone"
12/4/2024 17:09:04,Prof. Kellie Halloran,Hananeh,1 (Strongly disagree),2,4,1 (Strongly disagree),2,1 (Strongly disagree),1 (Strongly disagree),4,4,Laptop
12/4/2024 17:09:07,Prof. Kellie Halloran,Hananeh,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),"Laptop, Smartphone"
12/4/2024 17:09:22,Prof. Nikhil Admal,Hananeh,2,2,4,2,2,2,3 (Neutral),2,2,Laptop
12/4/2024 17:09:25,Prof. Nikhil Admal,Hananeh,4,4,4,4,4,4,3 (Neutral),4,4,"Tablet, Laptop, Desktop (computer lab, library)"
12/4/2024 17:10:08,Prof. Nikhil Admal,Hananeh,4,4,4,4,5 (Strongly agree),3 (Neutral),4,4,4,"Tablet, Laptop"
12/4/2024 17:10:18,Prof. Nikhil Admal,Hananeh,4,3 (Neutral),4,2,4,2,2,4,3 (Neutral),Laptop
12/4/2024 17:10:47,Prof. Kellie Halloran,Hananeh,4,4,4,4,5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,Laptop
12/4/2024 17:11:15,Prof. Nikhil Admal,Hananeh,4,4,4,4,4,4,4,4,4,"Tablet, Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 18:04:40,Prof. Nikhil Admal,Sharier,3 (Neutral),4,4,3 (Neutral),3 (Neutral),3 (Neutral),4,4,3 (Neutral),Laptop
12/4/2024 21:00:03,Prof. Nikhil Admal,Zakaria,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),4,4,Laptop
12/4/2024 21:00:08,Prof. Nikhil Admal,Zakaria,2,2,2,2,2,2,2,4,4,Laptop
12/4/2024 21:00:15,Prof. Nikhil Admal,Zakaria,3 (Neutral),4,4,2,4,2,2,4,3 (Neutral),Laptop
12/4/2024 21:01:49,Prof. Nikhil Admal,Boqiang,4,4,4,3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),4,3 (Neutral),"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 21:02:30,Prof. Nikhil Admal,Zakaria,3 (Neutral),3 (Neutral),4,3 (Neutral),4,3 (Neutral),4,4,4,Laptop
12/4/2024 21:03:46,Prof. Nikhil Admal,Zakaria,4,2,5 (Strongly agree),4,4,2,2,4,4,Laptop
12/4/2024 21:04:05,Prof. Nikhil Admal,Zakaria,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,5 (Strongly agree),1 (Strongly disagree),1 (Strongly disagree),4,4,Laptop
12/4/2024 21:08:44,Prof. Nikhil Admal,Zakaria,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Smartphone"
12/4/2024 21:10:01,Prof. Nikhil Admal,Zakaria,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 22:00:50,Prof. Kellie Halloran,Boqiang,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Tablet, Laptop, Smartphone"
12/4/2024 22:01:22,Prof. Kellie Halloran,Boqiang,4,4,4,4,4,4,4,4,4,"Tablet, Laptop"
12/4/2024 22:01:33,Prof. Kellie Halloran,Boqiang,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,1 (Strongly disagree),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 22:01:51,Prof. Nikhil Admal,Boqiang,3 (Neutral),4,3 (Neutral),4,4,3 (Neutral),3 (Neutral),4,4,Laptop
12/4/2024 22:02:00,Prof. Kellie Halloran,Boqiang,5 (Strongly agree),4,4,4,5 (Strongly agree),2,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/4/2024 22:02:00,Prof. Kellie Halloran,Boqiang,3 (Neutral),1 (Strongly disagree),4,2,4,1 (Strongly disagree),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/4/2024 22:02:13,Prof. Nikhil Admal,Boqiang,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),"Tablet, Laptop"
12/4/2024 22:02:18,Prof. Nikhil Admal,Boqiang,4,4,4,4,4,3 (Neutral),3 (Neutral),4,4,"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 22:02:23,Prof. Kellie Halloran,Boqiang,3 (Neutral),3 (Neutral),5 (Strongly agree),3 (Neutral),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/4/2024 22:02:39,Prof. Kellie Halloran,Boqiang,2,2,4,2,2,2,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/4/2024 22:54:38,Prof. Kellie Halloran,Jehyung,4,4,4,4,4,4,4,4,4,Laptop
12/4/2024 22:54:41,Prof. Kellie Halloran,Boqiang,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/4/2024 22:54:45,Prof. Kellie Halloran,Boqiang,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,4,4,4,"Laptop, Desktop (computer lab, library)"
12/4/2024 22:54:57,Prof. Kellie Halloran,Boqiang,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),Laptop
12/5/2024 0:55:27,Prof. Kellie Halloran,Boqiang,4,4,3 (Neutral),4,4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/5/2024 16:03:45,Prof. Nikhil Admal,Christian,3 (Neutral),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),3 (Neutral),1 (Strongly disagree),3 (Neutral),Laptop
12/5/2024 16:03:46,Prof. Kellie Halloran,Christian,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),4,2,3 (Neutral),4,4,Laptop
12/5/2024 16:04:51,Prof. Nikhil Admal,Christian,3 (Neutral),3 (Neutral),5 (Strongly agree),4,4,3 (Neutral),4,4,4,Laptop
12/5/2024 16:19:25,Prof. Kellie Halloran,Christian,4,5 (Strongly agree),4,5 (Strongly agree),4,4,3 (Neutral),4,5 (Strongly agree),"Laptop, Smartphone"
12/5/2024 16:19:28,Prof. Kellie Halloran,Christian,3 (Neutral),3 (Neutral),4,2,4,2,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/5/2024 16:19:59,Prof. Nikhil Admal,Christian,4,4,4,4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,3 (Neutral),"Tablet, Laptop, Smartphone, Desktop (computer lab, library)"
12/5/2024 16:39:31,Prof. Kellie Halloran,Skyler,5 (Strongly agree),5 (Strongly agree),4,4,4,4,4,5 (Strongly agree),4,Laptop
12/5/2024 17:02:58,Prof. Kellie Halloran,Christian,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/5/2024 17:05:09,Prof. Kellie Halloran,Christian,4,2,4,3 (Neutral),3 (Neutral),2,2,2,2,"Laptop, Desktop (computer lab, library)"
12/5/2024 17:05:23,Prof. Kellie Halloran,Christian,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/5/2024 17:05:37,Prof. Kellie Halloran,Christian,4,4,4,4,5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,"Tablet, Laptop"
12/5/2024 17:08:55,Prof. Kellie Halloran,Christian,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),4,2,4,4,"Tablet, Laptop, Smartphone"
12/5/2024 17:10:35,Prof. Kellie Halloran,Christian,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,2,3 (Neutral),4,3 (Neutral),"Laptop, Smartphone"
12/5/2024 18:01:56,Prof. Nikhil Admal,Christian,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,3 (Neutral),3 (Neutral),4,5 (Strongly agree),4,Laptop
12/5/2024 18:02:32,Prof. Kellie Halloran,Christian,4,4,4,4,4,4,4,4,4,Laptop
12/5/2024 18:02:38,Prof. Nikhil Admal,Christian,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Tablet, Laptop"
12/5/2024 18:03:08,Prof. Nikhil Admal,Christian,4,4,2,2,3 (Neutral),1 (Strongly disagree),2,4,3 (Neutral),Laptop
12/5/2024 18:03:30,Prof. Nikhil Admal,Christian,2,2,1 (Strongly disagree),3 (Neutral),4,2,2,3 (Neutral),2,Laptop
12/5/2024 18:03:43,Prof. Kellie Halloran,Christian,4,4,5 (Strongly agree),4,4,3 (Neutral),4,4,4,"Laptop, Desktop (computer lab, library)"
12/5/2024 18:03:54,Prof. Nikhil Admal,Christian,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/5/2024 18:07:22,Prof. Kellie Halloran,Christian,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,Laptop
