Timestamp,My discussion section TA is,Course online reference pages [I use the reference pages of this course],Course online reference pages [They helped me understand course material],Course online reference pages [The instructor regularly shows/mentions them in lecture],Course online reference pages [I use them to solve PrairieLearn homework problems],Course online reference pages [I use them to solve Quizzes],Course online reference pages [I use them to solve problems in the dicussion sections],Course online reference pages [The reference pages stimulate my curiosity about real world problems],Course online reference pages [The reference pages help me understand how concepts in the course connect to each other.],Course online reference pages [The reference pages help me understand how the course content relates to my role as a future engineer.],Which devices do you use to access the online reference pages?
12/3/2024 20:05:39,Pranto,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),4,2,Laptop
12/3/2024 20:05:40,Pranto,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),1 (Strongly diagree),4,4,5 (Strongly agree),Laptop
12/3/2024 20:05:47,Pranto,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),4,4,"Laptop, Smartphone"
12/3/2024 20:05:50,Pranto,5 (Strongly agree),5 (Strongly agree),4,4,4,4,4,5 (Strongly agree),4,"Laptop, Desktop (computer lab, library)"
12/3/2024 20:06:02,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 20:06:14,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone"
12/3/2024 20:07:53,Pranto,3 (Neutral),4,4,3 (Neutral),2,1 (Strongly diagree),2,3 (Neutral),3 (Neutral),Laptop
12/3/2024 20:07:56,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
12/3/2024 20:08:24,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 20:08:27,Pranto,5 (Strongly agree),4,4,4,4,3 (Neutral),3 (Neutral),4,4,"Laptop, Desktop (computer lab, library)"
12/3/2024 20:09:02,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,3 (Neutral),2,Laptop
12/3/2024 20:09:46,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,"Laptop, Smartphone"
12/3/2024 20:17:26,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Desktop (computer lab, library)"
12/3/2024 20:56:09,Taewoo,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),1 (Strongly diagree),3 (Neutral),3 (Neutral),4,"Tablet, Laptop, Desktop (computer lab, library)"
12/3/2024 21:01:41,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),4,Laptop
12/3/2024 21:02:54,Taewoo,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Desktop (computer lab, library)"
12/3/2024 21:04:08,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),4,4,4,4,4,"Laptop, Smartphone"
12/3/2024 21:04:34,Taewoo,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),Laptop
12/3/2024 21:04:42,Taewoo,1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),2,3 (Neutral),1 (Strongly disagree),3 (Neutral),"Laptop, Smartphone"
12/3/2024 21:05:00,Taewoo,4,4,4,4,4,4,4,4,4,"Tablet, Laptop"
12/3/2024 21:05:14,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/3/2024 21:05:24,Taewoo,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),1 (Strongly diagree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
12/3/2024 21:05:45,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/3/2024 21:06:21,Taewoo,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone, Desktop (computer lab, library)"
12/3/2024 21:06:26,Taewoo,5 (Strongly agree),4,4,4,4,5 (Strongly agree),3 (Neutral),4,4,"Laptop, Smartphone"
12/3/2024 21:06:33,Taewoo,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 21:06:34,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Desktop (computer lab, library)"
12/3/2024 21:06:36,Taewoo,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone"
12/3/2024 21:06:42,Taewoo,5 (Strongly agree),3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/3/2024 21:07:02,Taewoo,1 (Strongly diagree),1 (Strongly diagree),2,1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),2,1 (Strongly disagree),1 (Strongly disagree),Laptop
12/3/2024 21:07:47,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 21:08:16,Taewoo,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
12/3/2024 21:08:53,Taewoo,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 21:08:56,Taewoo,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,4,5 (Strongly agree),3 (Neutral),Laptop
12/3/2024 21:09:35,Zeke,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 21:10:58,Taewoo,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),4,4,4,5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 21:11:52,Taewoo,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),1 (Strongly diagree),1 (Strongly disagree),5 (Strongly agree),1 (Strongly disagree),Tablet
12/3/2024 21:16:41,Taewoo,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4,3 (Neutral),"Tablet, Laptop, Smartphone, Desktop (computer lab, library)"
12/3/2024 21:20:00,Taewoo,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,"Laptop, Desktop (computer lab, library)"
12/3/2024 21:56:31,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),4,"Tablet, Laptop, Smartphone"
12/3/2024 22:03:00,Zeke,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),4,2,3 (Neutral),4,4,"Tablet, Laptop"
12/3/2024 22:03:45,Zeke,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),"Laptop, Smartphone"
12/3/2024 22:03:51,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 22:04:10,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Desktop (computer lab, library)"
12/3/2024 22:05:51,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 22:07:13,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/3/2024 22:07:23,Zeke,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Tablet, Laptop, Smartphone"
12/3/2024 22:09:43,Zeke,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),1 (Strongly diagree),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 22:10:26,Zeke,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),2,4,5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 22:10:59,Zeke,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),4,"Laptop, Smartphone, Desktop (computer lab, library)"
12/3/2024 22:11:41,Zeke,4,4,5 (Strongly agree),4,4,4,4,4,4,"Tablet, Laptop, Desktop (computer lab, library)"
12/3/2024 22:11:47,Zeke,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,4,4,4,Laptop
12/3/2024 22:12:18,Zeke,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),2,2,4,3 (Neutral),Laptop
12/3/2024 23:05:29,Zeke,4,4,2,3 (Neutral),5 (Strongly agree),2,4,5 (Strongly agree),4,Laptop
12/3/2024 23:05:30,Zeke,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 23:06:04,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
12/3/2024 23:06:51,Zeke,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),2,1 (Strongly disagree),4,3 (Neutral),"Tablet, Laptop"
12/3/2024 23:08:45,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Desktop (computer lab, library)"
12/3/2024 23:17:57,Zeke,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 18:02:58,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Tablet
12/4/2024 18:03:01,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Desktop (computer lab, library)"
12/4/2024 18:03:12,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 18:03:25,Junren,5 (Strongly agree),4,4,2,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 18:03:27,Junren,4,4,4,4,4,4,3 (Neutral),3 (Neutral),3 (Neutral),"Tablet, Laptop"
12/4/2024 18:03:43,Junren,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,"Tablet, Laptop, Smartphone"
12/4/2024 18:03:47,Junren,4,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),4,4,"Laptop, Desktop (computer lab, library)"
12/4/2024 18:04:23,Junren,5 (Strongly agree),4,4,4,4,3 (Neutral),3 (Neutral),4,4,"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 18:04:25,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 18:04:57,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 18:05:03,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 18:05:19,Junren,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/4/2024 18:06:51,Junren,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 18:07:31,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,"Desktop (computer lab, library)"
12/4/2024 18:55:02,Junren,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),4,3 (Neutral),3 (Neutral),Smartphone
12/4/2024 18:58:51,Taewoo,3 (Neutral),4,4,4,4,4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/4/2024 18:59:01,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/4/2024 18:59:03,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),3 (Neutral),Laptop
12/4/2024 18:59:23,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/4/2024 19:00:08,Junren,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),2,3 (Neutral),2,Laptop
12/4/2024 19:00:14,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 19:02:15,Junren,4,4,4,5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),4,4,"Laptop, Smartphone"
12/4/2024 19:03:25,Junren,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),2,1 (Strongly diagree),3 (Neutral),4,4,"Laptop, Desktop (computer lab, library)"
12/4/2024 19:03:28,Junren,4,4,5 (Strongly agree),4,5 (Strongly agree),3 (Neutral),4,4,4,"Tablet, Laptop, Smartphone"
12/4/2024 19:04:34,Taewoo,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 19:05:42,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 19:05:58,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 19:06:23,Junren,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 19:07:19,Junren,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
12/4/2024 19:07:25,Junren,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 19:07:45,Junren,1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),1 (Strongly diagree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 19:12:09,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/4/2024 19:26:34,Junren,5 (Strongly agree),5 (Strongly agree),2,4,5 (Strongly agree),4,5 (Strongly agree),4,2,"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 20:03:03,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,"Laptop, Smartphone"
12/4/2024 20:03:14,Junren,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 20:03:26,Junren,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),2,4,4,4,"Tablet, Laptop, Desktop (computer lab, library)"
12/4/2024 20:03:30,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/4/2024 20:04:16,Junren,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),4,4,5 (Strongly agree),4,Laptop
12/4/2024 20:04:21,Junren,4,5 (Strongly agree),4,5 (Strongly agree),4,2,3 (Neutral),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone, Desktop (computer lab, library)"
12/4/2024 20:04:29,Junren,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 20:04:37,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 20:04:38,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/4/2024 20:05:34,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/4/2024 20:11:38,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),1 (Strongly diagree),3 (Neutral),5 (Strongly agree),2,Laptop
12/4/2024 20:22:41,Taewoo,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/4/2024 20:25:34,Junren,2,2,2,2,2,2,4,4,4,"Tablet, Laptop, Smartphone"
12/5/2024 17:04:08,Junren,4,3 (Neutral),3 (Neutral),5 (Strongly agree),4,3 (Neutral),2,4,4,Laptop
