Timestamp,My discussion section TA is,Course online reference pages [I use the reference pages of this course],Course online reference pages [They helped me understand course material],Course online reference pages [The instructor regularly shows/mentions them in lecture],Course online reference pages [I use them to solve PrairieLearn homework problems],Course online reference pages [I use them to solve Quizzes],Course online reference pages [I use them to solve problems in the dicussion sections],Course online reference pages [The reference pages stimulate my curiosity about real world problems],Course online reference pages [The reference pages help me understand how concepts in the course connect to each other.],Course online reference pages [The reference pages help me understand how the course content relates to my role as a future engineer.],Which devices do you use to access the online reference pages?
12/5/2024 20:05:42,Younghyuk,5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),5 (Strongly agree),2,Laptop
12/5/2024 20:06:06,Younghyuk,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/5/2024 20:06:36,Younghyuk,5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),5 (Strongly agree),3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),4,Laptop
12/5/2024 20:06:37,Younghyuk,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/5/2024 20:06:46,Younghyuk,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Desktop (computer lab, library)"
12/5/2024 20:06:47,Younghyuk,5 (Strongly agree),4,4,4,4,4,4,4,4,Laptop
12/5/2024 20:07:05,Younghyuk,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),4,2,3 (Neutral),4,3 (Neutral),Laptop
12/5/2024 20:08:44,Younghyuk,4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/5/2024 20:08:52,Younghyuk,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/5/2024 20:09:13,Younghyuk,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,2,4,4,"Laptop, Desktop (computer lab, library)"
12/5/2024 20:09:56,Younghyuk,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,4,Laptop
12/5/2024 20:10:47,Younghyuk,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,Laptop
12/5/2024 20:10:56,Younghyuk,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),4,"Tablet, Laptop, Smartphone"
12/5/2024 20:21:54,Younghyuk,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,4,Laptop
12/5/2024 21:00:28,Jean Myung,4,4,4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,5 (Strongly agree),Laptop
12/5/2024 21:00:40,Jean Myung,4,4,4,4,5 (Strongly agree),4,4,5 (Strongly agree),4,Laptop
12/5/2024 21:00:52,Jean Myung,1 (Strongly disagree),1 (Strongly disagree),2,1 (Strongly disagree),1 (Strongly disagree),3 (Neutral),3 (Neutral),1 (Strongly disagree),1 (Strongly disagree),"Laptop, Smartphone"
12/5/2024 21:01:30,Jean Myung,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Tablet
12/5/2024 21:02:11,Jean Myung,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/5/2024 21:02:50,Jean Myung,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),5 (Strongly agree),3 (Neutral),Laptop
12/5/2024 21:03:55,Jean Myung,4,3 (Neutral),3 (Neutral),4,4,4,2,2,3 (Neutral),Laptop
12/5/2024 21:05:17,Jean Myung,4,4,4,4,4,4,4,4,4,"Tablet, Laptop, Desktop (computer lab, library)"
12/5/2024 21:05:24,Jean Myung,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),2,"Laptop, Desktop (computer lab, library)"
12/5/2024 21:57:07,Jean Myung,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/5/2024 21:57:55,Jean Myung,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/5/2024 22:04:41,Jean Myung,4,4,1 (Strongly disagree),4,4,3 (Neutral),2,2,2,Laptop
12/5/2024 22:06:22,Jean Myung,5 (Strongly agree),4,3 (Neutral),4,5 (Strongly agree),2,3 (Neutral),3 (Neutral),4,Laptop
12/5/2024 22:07:43,Jean Myung,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),3 (Neutral),5 (Strongly agree),3 (Neutral),Laptop
12/5/2024 22:08:03,Jean Myung,5 (Strongly agree),4,2,4,5 (Strongly agree),5 (Strongly agree),2,1 (Strongly disagree),1 (Strongly disagree),"Tablet, Laptop, Desktop (computer lab, library)"
12/5/2024 22:08:35,Jean Myung,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,4,Laptop
12/5/2024 22:09:16,Jean Myung,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),4,3 (Neutral),Laptop
12/5/2024 23:05:41,Younghyuk,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,4,4,3 (Neutral),Laptop
12/5/2024 23:05:43,Younghyuk,4,4,4,4,4,4,4,4,4,"Laptop, Smartphone"
12/5/2024 23:05:56,Younghyuk,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),"Tablet, Laptop"
12/5/2024 23:06:10,Younghyuk,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/5/2024 23:06:20,Younghyuk,4,4,4,4,4,4,4,4,4,"Tablet, Laptop"
12/5/2024 23:06:23,Younghyuk,5 (Strongly agree),4,5 (Strongly agree),3 (Neutral),5 (Strongly agree),2,3 (Neutral),4,3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/5/2024 23:06:40,Younghyuk,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),4,4,5 (Strongly agree),"Tablet, Laptop"
12/5/2024 23:06:56,Younghyuk,5 (Strongly agree),4,2,4,4,4,3 (Neutral),3 (Neutral),4,"Smartphone, Desktop (computer lab, library), What a great feedback form"
12/5/2024 23:07:46,Younghyuk,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/5/2024 23:08:20,Younghyuk,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/5/2024 23:09:54,Younghyuk,5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,Laptop
12/6/2024 16:02:29,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),3 (Neutral),"Tablet, Laptop, Desktop (computer lab, library)"
12/6/2024 16:02:52,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),5 (Strongly agree),2,Laptop
12/6/2024 16:04:36,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/6/2024 16:05:02,Jiaqi,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),4,4,4,4,Laptop
12/6/2024 18:01:19,Jiaqi,4,4,4,4,4,4,4,4,4,"Desktop (computer lab, library)"
12/6/2024 18:01:36,Jiaqi,4,4,4,4,4,4,4,4,4,"Tablet, Laptop"
12/6/2024 18:01:45,Jiaqi,5 (Strongly agree),5 (Strongly agree),2,5 (Strongly agree),5 (Strongly agree),3 (Neutral),2,4,3 (Neutral),"Laptop, Smartphone"
12/6/2024 18:01:50,Jiaqi,3 (Neutral),3 (Neutral),4,4,4,5 (Strongly agree),2,1 (Strongly disagree),2,Laptop
12/6/2024 18:02:14,Jiaqi,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,"Laptop, Desktop (computer lab, library)"
12/6/2024 18:02:26,Jiaqi,5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),5 (Strongly agree),4,4,4,4,Laptop
12/6/2024 18:02:29,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/6/2024 18:02:53,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/6/2024 18:03:00,Jiaqi,5 (Strongly agree),3 (Neutral),2,4,4,2,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/6/2024 18:03:10,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),4,3 (Neutral),"Laptop, Smartphone, Desktop (computer lab, library)"
12/6/2024 18:03:55,Jiaqi,5 (Strongly agree),5 (Strongly agree),4,4,4,2,4,4,3 (Neutral),"Laptop, Smartphone"
12/6/2024 18:05:43,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/6/2024 18:06:47,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Desktop (computer lab, library)"
12/6/2024 18:09:00,Jiaqi,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),4,Laptop
12/6/2024 18:12:05,Jiaqi,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,4,"Laptop, Desktop (computer lab, library)"
12/6/2024 19:01:53,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone"
12/6/2024 19:02:02,Jiheng,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,4,4,4,Laptop
12/6/2024 19:02:10,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),4,Laptop
12/6/2024 19:02:47,Jiheng,5 (Strongly agree),5 (Strongly agree),2,5 (Strongly agree),5 (Strongly agree),4,1 (Strongly disagree),4,2,Laptop
12/6/2024 19:09:12,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/6/2024 19:45:51,Jiheng,3 (Neutral),4,4,3 (Neutral),4,2,3 (Neutral),4,2,"Laptop, Desktop (computer lab, library)"
12/6/2024 19:55:33,Jiheng,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),3 (Neutral),4,4,4,Laptop
12/6/2024 20:01:12,Jiheng,4,4,4,4,4,4,4,4,4,"Tablet, Laptop, Smartphone"
12/6/2024 20:01:30,Jiheng,5 (Strongly agree),4,4,5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Smartphone"
12/6/2024 20:01:48,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/6/2024 20:02:19,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone"
12/6/2024 20:06:32,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/6/2024 20:47:18,Jiheng,5 (Strongly agree),4,3 (Neutral),4,4,3 (Neutral),4,3 (Neutral),3 (Neutral),Laptop
12/6/2024 21:05:18,Younghyuk,5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),5 (Strongly agree),5 (Strongly agree),2,2,1 (Strongly disagree),3 (Neutral),"Tablet, Laptop, Smartphone"
