Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,0,0,0,0,3,5,12,14,40,28,16,30,46,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/vectors.html,0,0,0,0,3,4,6,5,35,35,32,53,16,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/index.html,0,1,0,1,7,9,17,13,37,30,25,24,13,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/vector_calculus.html,0,0,0,0,7,5,6,8,31,29,23,41,8,0,0,0,0,0
/sol/pressure_vessels/,1,4,6,20,1,1,8,5,16,35,16,18,18,0,2,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/particle_kinetics.html,0,0,0,0,5,1,9,8,20,22,13,30,13,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/work_and_energy.html,0,0,0,0,2,6,4,14,16,18,14,16,28,0,0,0,0,0
/sta/hydrostatic_fluid_pressure/,19,34,34,1,0,4,5,1,3,1,0,1,0,1,4,4,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/contact_and_rolling.html,0,0,0,0,1,4,8,11,16,16,5,20,23,0,0,0,0,0
/md1/IC,0,0,0,0,0,52,8,6,0,0,0,0,2,1,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/contact_and_rolling.html,20,31,0,0,0,3,3,5,0,0,0,5,2,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn.html,14,26,8,1,0,2,3,3,0,0,0,2,5,0,0,0,0,0
/sta/reaction_forces/,3,1,1,2,0,6,7,1,1,1,4,0,1,7,8,4,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,10,8,1,0,0,0,2,3,0,0,0,5,2,0,0,0,0,0
/about/,0,0,5,1,0,7,1,9,4,0,0,0,0,0,2,0,0,0
/sta/introduction/,1,2,3,0,0,3,5,2,0,1,0,0,2,1,7,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,7,9,4,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0
/sta/cartesian_coordinates/,0,1,2,1,2,9,3,1,0,2,0,1,0,0,2,0,0,0
/dyn/rigid_body_kinematics,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
/sta/shear_moment_diagrams/,1,0,2,0,0,2,0,2,3,2,1,0,3,1,4,0,0,0
/sta/free_body_diagrams/,0,0,0,0,1,7,1,1,2,3,1,0,0,3,0,1,0,0
/sta/trusses/,2,5,1,0,0,3,1,1,2,1,0,0,1,1,0,2,0,0
/sta/force_systems/,2,2,1,0,1,4,0,1,4,1,0,0,1,1,0,0,0,0
/sta/moments/,2,4,0,0,0,4,0,1,1,1,0,1,0,0,0,0,0,0
/about,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0
/sta/frames_and_machines/,1,1,1,1,0,4,0,0,2,1,0,1,0,0,1,0,0,0
/sta/friction/,1,2,2,0,0,1,0,1,0,1,0,2,0,0,3,0,0,0
/sta/pltips/,0,2,0,0,0,0,0,1,2,3,2,0,2,0,1,0,0,0
/sta/vectors_scalars/,0,0,3,0,0,4,0,1,1,1,0,1,1,0,1,0,0,0
/about/docs,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0
/about/examples/example,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
/about/team/,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/particle_kinematics.html,1,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/work_and_energy.html,1,0,3,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0
/about/docs/,0,1,1,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/particle_kinematics.html,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/particle_kinematics.html,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434747/clientFilesCourse/mechref/dyn/particle_kinematics.html,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn.html,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/particle_kinetics.html,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
/sta/vectors_scalars,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/dyn/vectors,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/vector_calculus.html,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/vectors.html,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
/pl/course_instance/158221/assessment/2434747/clientFilesCourse/mechref/dyn/vector_calculus.html,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/vector_calculus.html,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/vectors.html,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/vector_calculus.html,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/dyn/vectors.html,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434747/clientFilesCourse/mechref/dyn/vectors.html,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
/about/instructors/,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
/about/students/,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/beam_deflection.html,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/bending.html,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/buckling.html,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/stress_transformation.html,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/particle_kinetics.html,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn.html,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/particle_kinetics.html,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
/thermodynamics/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
/about/examples/example/,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
/about/examples/home_page/,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/about/instructions/illinois/,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/about/instructions/mechse,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
/md1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
/md1/planar_mechanisms,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/shear_moment_diagrams.html,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/strain.html,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/stress.html,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/torsion.html,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sta/hydrostatic_fluid_pressure.html,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sta/introduction.html,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sta/moment_of_inertia.html,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn.html,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
/pl/course_instance/158221/assessment/2434747/clientFilesCourse/mechref/dyn.html,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn/particle_kinematics.html,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn/vector_calculus.html,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
/sol//,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
/sta/introduction,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
/sta/virtual_work,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/about/instructions/mechse/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
/md1/PVA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158188/assessment/2434684/clientFilesCourse/mechref/sta.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158188/assessment/2434684/clientFilesCourse/mechref/sta/virtual_work.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/about.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn.html,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/axial_loading.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/combined_loading.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/failure_theories.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/material_properties.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/pressure_vessels.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sol/transverse_shear.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sta/cartesian_coordinates.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sta/friction.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/sta/shear_moment_diagrams.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/contact_and_rolling.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434744/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434747/clientFilesCourse/mechref/dyn/rigid_body_kinetics.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/contact_and_rolling.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434750/clientFilesCourse/mechref/dyn/work_and_energy.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434753/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434753/clientFilesCourse/mechref/dyn/work_and_energy.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434755/clientFilesCourse/mechref/dyn.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434756/clientFilesCourse/mechref/dyn/particle_kinetics.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/sol/bending.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pl/course_instance/158221/assessment/2434759/clientFilesCourse/mechref/sol/buckling.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sol,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/sol/stress,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/sta/cartesian_coordinates,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/thermodynamics/complex_problems/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/thermodynamics/cycles/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/thermodynamics/entropy/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/thermodynamics/substances/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1

